"","employees","salaries_2017","annual_salary_adjustments","salaries_2018","salaries_raised"
"1","Employee 1",49328.2905290835,9149.73630220629,58478.0268312898,TRUE
"2","Employee 2",44320.0628226623,-4124.19940228574,40195.8634203766,FALSE
"3","Employee 3",45091.8286666274,5817.19894194975,50909.0276085772,TRUE
"4","Employee 4",41625.7583047263,949.382160324603,42575.1404650509,TRUE
"5","Employee 5",48016.8173997663,-4385.19790419377,43631.6194955725,FALSE
"6","Employee 6",44113.1545393728,4699.86790209077,48813.0224414635,TRUE
"7","Employee 7",45834.7589545883,5243.17420786247,51077.9331624508,TRUE
"8","Employee 8",42453.9828533307,-1454.92084207945,40999.0620112512,FALSE
"9","Employee 9",41816.7887930758,3309.10030053928,45125.8890936151,TRUE
"10","Employee 10",44961.9607906789,1442.73764570244,46404.6984363813,TRUE
"11","Employee 11",40003.460124135,2546.06438684277,42549.5245109778,TRUE
"12","Employee 12",40248.9459933713,9228.38313737884,49477.3291307501,TRUE
"13","Employee 13",45588.2042855956,5536.96144372225,51125.1657293178,TRUE
"14","Employee 14",42315.3515439481,6147.18103781343,48462.5325817615,TRUE
"15","Employee 15",42485.8001549728,-4260.3155830875,38225.4845718853,FALSE
"16","Employee 16",46892.1197066084,-3720.6725392025,43171.4471674059,FALSE
"17","Employee 17",41553.958998993,4925.5735729821,46479.5325719751,TRUE
"18","Employee 18",46564.8161480203,2959.06409970485,49523.8802477252,TRUE
"19","Employee 19",44671.1302734911,-149.296490708366,44521.8337827828,FALSE
"20","Employee 20",41765.1116033085,3197.04873487353,44962.160338182,TRUE
"21","Employee 21",47949.0997223184,1270.34296048805,49219.4426828064,TRUE
"22","Employee 22",45419.0603666939,5622.4658282008,51041.5261948947,TRUE
"23","Employee 23",41002.1023731679,-3250.88924262673,37751.2131305411,FALSE
"24","Employee 24",44500.8841482922,-3712.35943748616,40788.5247108061,FALSE
"25","Employee 25",40646.114719566,3358.73870993964,44004.8534295056,TRUE
"26","Employee 26",41261.7347342893,9645.05461626686,50906.7893505562,TRUE
"27","Employee 27",47038.2927428,-437.858458608389,46600.4342841916,FALSE
"28","Employee 28",41109.6101091243,663.935923948884,41773.5460330732,TRUE
"29","Employee 29",43145.9066085517,5148.16651237197,48294.0731209237,TRUE
"30","Employee 30",47837.9936027341,4621.57314526848,52459.5667480025,TRUE
"31","Employee 31",40583.4076763131,-3102.43881540373,37480.9688609093,FALSE
"32","Employee 32",48413.4543617256,8282.62021532282,56696.0745770484,TRUE
"33","Employee 33",41597.5463320501,9260.32507210039,50857.8714041505,TRUE
"34","Employee 34",48679.5924417675,8090.9734510351,56770.5658928026,TRUE
"35","Employee 35",40933.3306015469,-407.806342700496,40525.5242588464,FALSE
"36","Employee 36",44477.6959111914,-160.287341568619,44317.4085696228,FALSE
"37","Employee 37",48293.9108787104,7269.4389463868,55563.3498250972,TRUE
"38","Employee 38",41752.1462449804,9563.445529202,51315.5917741824,TRUE
"39","Employee 39",41844.8373442516,-4862.54916177131,36982.2881824803,FALSE
"40","Employee 40",49308.4568786435,-4498.04038624279,44810.4164924007,FALSE
"41","Employee 41",47868.9988260157,-4158.2921682857,43710.70665773,FALSE
"42","Employee 42",41683.8726447895,885.554983979091,42569.4276287686,TRUE
"43","Employee 43",43004.3651582673,5400.44810040854,48404.8132586759,TRUE
"44","Employee 44",44980.5130553432,6284.71205593087,51265.225111274,TRUE
"45","Employee 45",48139.9694993161,8517.6465800032,56657.6160793193,TRUE
"46","Employee 46",40683.0842071213,-1324.49344848283,39358.5907586385,FALSE
"47","Employee 47",45681.5579929389,3933.76839230768,49615.3263852466,TRUE
"48","Employee 48",47952.0326340571,5303.53506561369,53255.5676996708,TRUE
"49","Employee 49",40444.7157098912,1202.66259182245,41647.3783017136,TRUE
"50","Employee 50",48804.0706026368,9195.51760423928,57999.5882068761,TRUE
"51","Employee 51",45748.4989869408,4071.18526287377,49819.6842498146,TRUE
"52","Employee 52",40344.6669783443,2150.35675675608,42495.0237351004,TRUE
"53","Employee 53",48953.7778333761,9900.53913206793,58854.316965444,TRUE
"54","Employee 54",42052.1038002335,-2823.69096297771,39228.4128372557,FALSE
"55","Employee 55",49335.6643966399,-3165.66625609994,46169.99814054,FALSE
"56","Employee 56",44095.8772273734,5818.61527054571,49914.4924979191,TRUE
"57","Employee 57",45843.16767985,-3757.13833025657,42086.0293495934,FALSE
"58","Employee 58",42856.8483470008,8349.47980707511,51206.3281540759,TRUE
"59","Employee 59",48590.8266319893,224.611915182322,48815.4385471717,TRUE
"60","Employee 60",44091.6622732766,7196.45122648217,51288.1134997588,TRUE
"61","Employee 61",45519.6814518422,3731.37066024356,49251.0521120857,TRUE
"62","Employee 62",41766.5159679018,7720.4040705692,49486.920038471,TRUE
"63","Employee 63",41617.5330127589,8753.0149333179,50370.5479460768,TRUE
"64","Employee 64",44135.665113572,-2588.47215329297,41547.1929602791,FALSE
"65","Employee 65",42126.4080586843,2281.46727546118,44407.8753341455,TRUE
"66","Employee 66",48292.212637607,-2420.21397571079,45871.9986618962,FALSE
"67","Employee 67",47453.8653437048,7400.12382157147,54853.9891652763,TRUE
"68","Employee 68",41731.8716761656,5565.72426576167,47297.5959419273,TRUE
"69","Employee 69",48887.76935637,-2604.44262996316,46283.3267264068,FALSE
"70","Employee 70",41387.6515044831,-1452.0085148979,39935.6429895852,FALSE
"71","Employee 71",42818.0604847148,3950.49369777553,46768.5541824903,TRUE
"72","Employee 72",40691.773975268,-2000.65225595608,38691.1217193119,FALSE
"73","Employee 73",42134.0097254142,-417.679302627221,41716.330422787,FALSE
"74","Employee 74",46821.7504303902,5427.34085349366,52249.0912838839,TRUE
"75","Employee 75",44832.0546746254,1470.82848357968,46302.8831582051,TRUE
"76","Employee 76",41202.5531171821,8923.68393484503,50126.2370520271,TRUE
"77","Employee 77",42570.2406279743,6615.14916690066,49185.3897948749,TRUE
"78","Employee 78",44869.0172284842,-532.153245294467,44336.8639831897,FALSE
"79","Employee 79",41353.9758254774,-611.933778272942,40742.0420472044,FALSE
"80","Employee 80",46348.753515631,-4062.99491995014,42285.7585956808,FALSE
"81","Employee 81",45742.6586304791,3505.92019036412,49248.5788208432,TRUE
"82","Employee 82",42501.0277377442,-3766.04867749847,38734.9790602457,FALSE
"83","Employee 83",43629.7927726991,-289.148611482233,43340.6441612169,FALSE
"84","Employee 84",45367.6528180949,6251.98768801056,51619.6405061055,TRUE
"85","Employee 85",42692.100412678,2655.81328305416,45347.9136957321,TRUE
"86","Employee 86",40818.8874763437,5367.86047276109,46186.7479491048,TRUE
"87","Employee 87",46939.3332512118,-2551.51853198186,44387.8147192299,FALSE
"88","Employee 88",42112.5776413828,-4029.44791014306,38083.1297312398,FALSE
"89","Employee 89",46886.2603604794,9755.09513984434,56641.3555003237,TRUE
"90","Employee 90",41105.7722521946,5274.81810306199,46380.5903552566,TRUE
"91","Employee 91",45072.1798161976,9719.33935186826,54791.5191680659,TRUE
